page,SpeedIndex,totalBytes,TTFB,renderStart,numConnections,numDomElements,numDomains,numRedirects,uses_cdn,bytesCss,reqCss,bytesJS,reqJS,bytesImg,reqImg,bytesFont,reqFont,bytesHtml,reqHtml,bytesJSON,reqJSON,reqTotal,gzipSavings,maxDomainReqs,maxage0,maxage1,maxage30,maxage365,maxageMore,maxageNull,num_long_tasks,TotalBlockingTime,EvaluateScript,FunctionCall,Layout,image_savings,renderBlockingCSS,renderBlockingJS,FirstContentfulPaint,FirstImagePaint,FirstMeaningfulPaint,FirstPaint,LargestContentfulPaint,layout_shifts_count,loadEventDuration,dclDuration,_responses_200,_responses_404,_responses_other,analytics,ads,marketing,fonts_scripts,tagman,chat,img_missing_width,img_missing_height,img_lazy_count,svg_count,is_lcp_preloaded,scripts_total,scripts_inline,scripts_async,scripts_defer
https://www.iradha.tv/,500,65242,148,100,4,53,4,0,true,27423,1,31318,2,3944,2,0,0,2294,1,,,8,0,2,0,4,0,0,0,4,,,8,4,35,0,1,0,417,417,417,404,,,1,1,7,0,1,1,0,0,0,0,0,1,1,0,1,null,3,1,1,1
https://www.bappam.org/telugu-movies/,500,23310,168,100,3,50,3,1,true,0,0,6883,1,11675,3,0,0,4489,1,,,8,0,3,0,5,0,0,0,3,,,3,0,13,0,0,0,443,443,443,308,,,0,0,6,0,2,1,0,0,0,0,0,1,1,0,1,null,3,2,1,1
https://www.eurosport.fr/football/qualif-coupe-du-monde/2026/lantiseche-de-france-ukraine-tout-pour-conquerir-lamerique_sto23240883/story.shtml,500,13847,220,100,2,16,3,3,true,0,0,0,0,0,1,0,0,13847,2,,,5,0,1,0,4,0,0,0,1,,,,1,7,0,0,0,376,,376,312,,,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,null,0,0,0,0
https://ae.bappamtv.com/,501,36309,144,100,5,194,5,0,true,600,1,6883,1,11675,3,12756,1,4132,1,,,9,0,3,0,5,0,1,0,3,,,3,5,28,0,1,0,436,436,436,344,,3,0,0,8,0,1,1,0,0,1,0,0,1,1,0,1,false,1,0,0,1
https://dle.rae.es/,512,392043,136,100,2,477,1,0,true,0,0,34432,1,184117,3,158480,7,14787,1,,,13,0,12,0,0,0,0,12,1,2,111,11,15,238,0,0,0,455,,551,428,,17,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,null,1,0,0,1
https://fastdl.app/video,518,968470,130,100,16,388,10,0,true,8151,1,787497,13,139677,10,0,0,19542,14,,,44,0,13,0,11,2,1,0,30,4,207,362,182,125,0,0,0,417,417,417,324,,,1,0,30,0,14,2,1,0,1,0,0,0,0,5,0,,13,4,9,1
https://tvtropes.org/pmwiki/tlp_activity.php,582,1367075,124,100,36,1322,30,11,true,55535,2,1031978,26,57117,20,130196,2,61886,16,,,89,0,16,0,10,3,13,0,63,9,357,685,63,124,0,1,0,448,448,645,348,,1,1,5,61,0,28,5,6,0,0,1,0,23,23,0,0,null,51,29,22,0
https://forums.d2jsp.org/,599,17138,250,100,1,776,1,0,true,4630,1,0,0,6254,2,0,0,6254,1,,,4,0,3,0,0,3,0,0,1,1,5,,0,11,0,1,0,535,535,535,0,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,0
https://gangwaynumberprivacy.com/,600,11139,275,100,3,102,3,1,false,0,0,0,0,4268,2,0,0,6871,1,,,3,0,0,0,0,0,2,0,1,,,0,3,22,0,0,0,533,533,533,412,,,0,2,2,0,1,0,0,0,0,0,0,1,1,0,0,null,1,1,0,0
https://holahupa.com/,600,11139,298,100,3,102,3,1,false,0,0,0,0,4268,2,0,0,6871,1,,,3,0,0,0,0,0,2,0,1,,,0,2,31,0,0,0,546,546,546,412,,,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0,null,1,1,0,0
