page,SpeedIndex,totalBytes,TTFB,renderStart,numConnections,numDomElements,numDomains,numRedirects,uses_cdn,bytesCss,reqCss,bytesJS,reqJS,bytesImg,reqImg,bytesFont,reqFont,bytesHtml,reqHtml,bytesJSON,reqJSON,reqTotal,gzipSavings,maxDomainReqs,maxage0,maxage1,maxage30,maxage365,maxageMore,maxageNull,num_long_tasks,TotalBlockingTime,EvaluateScript,FunctionCall,Layout,image_savings,renderBlockingCSS,renderBlockingJS,FirstContentfulPaint,FirstImagePaint,FirstMeaningfulPaint,FirstPaint,LargestContentfulPaint,layout_shifts_count,loadEventDuration,dclDuration,_responses_200,_responses_404,_responses_other,analytics,ads,marketing,fonts_scripts,tagman,chat,img_missing_width,img_missing_height,img_lazy_count,svg_count,is_lcp_preloaded,scripts_total,scripts_inline,scripts_async,scripts_defer
"https://baltbet.ru/prematch?groups=595807,21418,68973,68972,127938,558388,331914,690559",6455,5462740,2265,100,7,1757,9,6,false,373905,1,2323712,23,2699352,14,0,0,21726,1,,,51,153413,23,0,4,0,1,0,46,6,2241,175,57,99,187642,1,4,3718,14509,12810,3616,,18,0,1,42,0,9,2,0,0,0,1,0,1,1,0,0,false,26,9,8,2
"https://bananarepublic.gap.com/browse/women/new-arrivals?cid=48422&mlink=5001,1,hp_spotlight_newarrivals_bg",5661,5104678,619,100,107,1212,85,26,true,70405,6,3213761,149,1172003,107,139288,6,176044,45,,,380,5349,86,0,61,36,56,0,227,25,1439,1325,2030,64,0,0,1,1826,1826,1826,1728,,15,5,1,340,1,39,9,2,1,0,1,0,8,8,24,3,false,204,91,111,1
"https://biznes.interia.pl/finanse/news-ile-kosztuje-darowizna-u-notariusza-oto-aktualne-stawki,nId,22451137",4617,17863902,819,100,45,1604,40,21,false,92441,72,1608500,134,184672,64,65812,3,317886,12,,,334,0,139,0,55,123,39,3,114,13,433,584,1225,204,0,0,1,1993,2112,1993,1912,,11,13,0,282,0,52,2,3,0,0,1,0,29,28,23,20,true,100,10,54,44
"https://diavgeia.gov.gr/search?query=submissionTimestamp:[DT(2024-11-12T00:00:00)%20TO%20DT(2025-11-12T23:59:59)]%20AND%20decisionType:[%22%CE%95%CE%93%CE%9A%CE%A5%CE%9A%CE%9B%CE%99%CE%9F%CE%A3%22,%22%CE%9D%CE%9F%CE%9C%CE%9F%CE%A3%22]&sort=recent",5292,888708,1165,100,8,1634,3,0,false,83975,20,536167,42,128943,15,122430,2,12018,3,,,86,0,81,0,81,0,0,0,5,3,215,61,156,141,0,20,7,4387,4387,5105,4316,,38,1,3,85,0,1,1,0,0,2,0,0,24,24,0,0,null,46,4,8,0
"https://direct.asda.com/george/christmas/the-gift-edit-by-erica-davies/D18M28G1C20,default,sc.html?cm_sp=e-desktop_p-homepage-uk_t-tier01_b-block01_d-251103_l-link01_c-ericadavies_s-AW_tp-moduleA",4593,2664981,474,100,28,2295,24,2,true,49613,11,1640022,64,726527,34,47372,2,137403,9,,,141,0,74,0,50,36,5,2,48,17,1019,834,852,140,0,0,1,925,925,1252,816,,17,13,3,128,0,13,5,2,0,1,2,0,3,3,0,7,,94,57,50,2
"https://film.interia.pl/wywiady/news-najbardziej-wymagajaca-rola-w-karierze-polskiego-aktora-spor,nId,8039462",7307,9450417,1037,100,54,1254,41,25,false,74956,16,1633079,84,163188,87,55228,3,336753,8,,,238,114552,62,0,29,2,63,3,141,8,223,413,790,173,5633,9,4,2542,2542,2542,2416,,37,20,8,159,0,79,2,3,0,0,1,0,30,30,17,20,true,86,33,49,4
"https://halotu.polsat.pl/styl-zycia/news-styl-moniki-bellucci-tak-gwiazda-podkresla-atuty-i-tuszuje-n,nId,8039421",5978,1835735,767,100,16,1670,12,1,false,95142,85,1025382,76,204600,17,212116,6,44039,4,,,208,0,144,0,38,125,31,6,8,8,213,252,392,250,0,0,1,2098,2098,2098,2012,,21,15,0,206,0,2,2,2,0,0,1,0,27,27,26,20,true,74,10,36,33
"https://mybharat.gov.in/pages/experiential_learning_detail?task_name=IISC,-Bangalore-Nano-Science-and-Technology-Experiential-Learning-Program-2025-(NST-ELP)&key=653154451653",4869,1905602,1145,100,20,771,13,0,false,131932,11,1485024,30,60589,21,132880,2,94315,6,,,74,52906,33,0,2,1,13,0,58,7,165,212,274,159,0,5,1,3104,3104,5673,3004,,,7,6,73,0,1,2,0,0,1,0,0,27,27,0,2,null,48,18,9,1
"https://natemat.pl/631055,ile-ludzi-jest-na-marszu-niepodleglosci-do-stolicy-zjechaly-sie-tlumy",6411,4956715,834,100,56,1699,47,6,false,24128,7,2356246,75,2105506,67,152816,6,137843,12,,,203,0,48,0,20,6,80,0,97,22,958,1007,1020,261,0,0,1,2510,2510,2510,2444,,3,3,13,169,0,34,4,5,0,0,1,0,10,10,0,6,null,89,31,35,2
"https://ogloszenia.moja-ostroleka.pl/ocieplenie-poddaszy-stropow-kamera-termowizyjna,1073029.html",4580,2252633,983,100,52,432,41,1,true,36601,8,1610021,43,159400,19,229092,5,55398,16,,,150,3106,26,0,17,24,18,0,91,10,513,746,365,288,37792,8,8,2146,2146,2463,2012,,7,6,0,99,0,51,3,4,1,1,1,0,7,7,0,2,null,49,13,28,1
