page,SpeedIndex,totalBytes,TTFB,renderStart,numConnections,numDomElements,numDomains,numRedirects,uses_cdn,bytesCss,reqCss,bytesJS,reqJS,bytesImg,reqImg,bytesFont,reqFont,bytesHtml,reqHtml,bytesJSON,reqJSON,reqTotal,gzipSavings,maxDomainReqs,maxage0,maxage1,maxage30,maxage365,maxageMore,maxageNull,num_long_tasks,TotalBlockingTime,EvaluateScript,FunctionCall,Layout,image_savings,renderBlockingCSS,renderBlockingJS,FirstContentfulPaint,FirstImagePaint,FirstMeaningfulPaint,FirstPaint,LargestContentfulPaint,layout_shifts_count,loadEventDuration,dclDuration,_responses_200,_responses_404,_responses_other,analytics,ads,marketing,fonts_scripts,tagman,chat,img_missing_width,img_missing_height,img_lazy_count,svg_count,is_lcp_preloaded,scripts_total,scripts_inline,scripts_async,scripts_defer
https://ebillingcentre.amadeus.com/,2360,823477,800,100,7,92,1,2,False,217117,7,85757,6,92874,7,423964,1,3765,2,,,24,0,23,0,0,0,0,0,24,,,12.0,9.0,45.0,0.0,7.0,6.0,2252.0,2352.0,2252.0,0.0,,8.0,1.0,0.0,20.0,1.0,3.0,0,0,0,0,0,0,3,3,0,0,False,7.0,1.0,0.0,0.0
https://www.actubanque.fr/,4174,575442,2550,100,5,188,5,0,False,66121,17,104817,7,188507,11,204228,3,11769,1,,,39,0,31,0,0,0,5,31,3,1.0,46.0,17.0,9.0,109.0,0.0,17.0,4.0,3570.0,3570.0,3570.0,3528.0,,8.0,2.0,1.0,39.0,0.0,0.0,0,0,0,2,0,0,6,7,0,0,False,11.0,4.0,0.0,0.0
https://www.fortmillclinic.com/functional-medicine/,5161,4904177,430,100,24,401,17,1,False,107558,23,1604128,77,2826966,14,273008,9,91400,6,,,149,0,65,0,2,2,81,0,64,8.0,354.0,312.0,341.0,506.0,520880.0,21.0,1.0,1261.0,1462.0,1462.0,1136.0,,1.0,5.0,4.0,141.0,0.0,8.0,2,0,0,2,1,0,14,14,0,0,False,17.0,3.0,5.0,0.0
https://www.amfund.org/request-support/,1701,1303964,311,100,13,487,13,0,True,228902,41,669587,27,164080,7,209284,7,32111,2,,,87,77373,62,0,1,20,41,0,25,4.0,144.0,147.0,59.0,158.0,0.0,26.0,1.0,1308.0,1308.0,1308.0,1232.0,,10.0,1.0,0.0,84.0,0.0,3.0,2,0,0,2,0,0,0,0,0,0,False,40.0,2.0,0.0,38.0
https://www.prairiecinema.com/movies/264144-christy/,1024,2222444,317,100,20,346,14,5,True,42505,1,1832080,20,22363,7,95500,4,102441,7,,,77,0,43,0,1,1,5,0,70,10.0,391.0,543.0,819.0,80.0,1510.0,1.0,1.0,707.0,939.0,707.0,576.0,,,0.0,0.0,63.0,0.0,14.0,1,1,0,0,1,0,0,0,1,0,,18.0,6.0,12.0,1.0
https://drdolphin.jp/,5491,14693978,2100,100,24,700,15,1,False,410901,21,2120881,33,11997326,45,30896,2,112220,4,,,111,1086428,81,0,3,1,8,0,99,9.0,393.0,260.0,307.0,518.0,506806.0,18.0,5.0,5025.0,5025.0,5025.0,4916.0,,,2.0,24.0,108.0,0.0,3.0,2,0,0,2,0,0,23,23,0,12,False,52.0,21.0,10.0,1.0
https://www.gesbit.de/,2204,479881,1081,100,1,366,1,0,False,24774,3,48849,3,153951,13,246104,6,6203,1,,,26,0,25,0,2,18,6,0,0,,,7.0,12.0,61.0,3964.0,1.0,1.0,1701.0,1799.0,2082.0,1628.0,,3.0,0.0,2.0,26.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,False,4.0,1.0,2.0,1.0
https://www.aviation-photocrew.com/,1985,3144019,594,100,11,550,11,1,False,61047,3,946432,15,2015936,58,40128,1,79941,3,,,84,0,62,0,5,0,7,0,72,6.0,360.0,188.0,336.0,230.0,1353887.0,3.0,6.0,1485.0,1485.0,1485.0,1428.0,,2.0,14.0,0.0,81.0,1.0,2.0,0,0,0,0,0,0,3,3,0,0,False,9.0,2.0,1.0,0.0
https://philadelphiatransitvehicles.info/Gallery/,2140,281547,293,100,2,535,2,1,True,4394,2,49188,6,218103,22,0,0,9862,2,,,36,0,34,0,5,24,0,0,7,,,10.0,13.0,81.0,0.0,2.0,5.0,2019.0,2113.0,2113.0,484.0,,14.0,0.0,8.0,32.0,0.0,4.0,1,0,0,0,0,0,0,0,0,0,False,7.0,1.0,0.0,1.0
https://www.minifigs4u.com/,4393,4422311,924,100,11,821,10,0,True,97570,27,275782,31,3972477,31,68012,2,8470,3,,,94,0,30,0,6,51,2,10,25,2.0,57.0,58.0,30.0,128.0,2586797.0,27.0,26.0,2164.0,2164.0,2450.0,2028.0,,30.0,7.0,62.0,94.0,0.0,0.0,0,0,0,2,0,0,63,63,0,0,False,42.0,10.0,0.0,1.0
